Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CG-10000,191,35,25338.4,1,4,3,2.6666666666666665,At Risk
CG-10001,144,26,20339.97,2,1,2,1.6666666666666667,Needs Attention
CG-10002,81,37,25862.7,4,4,3,3.6666666666666665,Loyal Customers
CG-10003,124,21,10824.46,3,1,1,1.6666666666666667,Needs Attention
CG-10004,167,32,37280.17,2,3,5,3.3333333333333335,At Risk
CG-10005,226,39,28835.21,1,5,4,3.3333333333333335,At Risk
CG-10006,113,27,13612.73,3,1,1,1.6666666666666667,Needs Attention
CG-10007,256,24,9443.26,1,1,1,1.0,Lost
CG-10008,64,31,16169.46,5,2,1,2.6666666666666665,New Customers
CG-10009,269,26,23471.89,1,1,3,1.6666666666666667,Lost
CG-10010,120,35,20216.96,3,4,2,3.0,Needs Attention
CG-10011,10,27,9438.5,5,1,1,2.3333333333333335,New Customers
CG-10012,80,24,16566.66,4,1,1,2.0,New Customers
CG-10013,64,32,32625.82,5,3,4,4.0,Loyal Customers
CG-10014,123,31,24317.4,3,2,3,2.6666666666666665,Needs Attention
CG-10015,55,41,29205.38,5,5,4,4.666666666666667,Champions
CG-10016,103,32,15847.27,3,3,1,2.3333333333333335,Needs Attention
CG-10017,70,35,18828.08,4,4,2,3.3333333333333335,Needs Attention
CG-10018,313,33,22020.88,1,3,3,2.3333333333333335,At Risk
CG-10019,217,31,18849.75,1,2,2,1.6666666666666667,Lost
CG-10020,144,33,27672.63,2,3,4,3.0,At Risk
CG-10021,16,37,37744.87,5,4,5,4.666666666666667,Champions
CG-10022,249,34,19883.42,1,4,2,2.3333333333333335,Needs Attention
CG-10023,187,24,19708.36,1,1,2,1.3333333333333333,Lost
CG-10024,114,32,13893.53,3,3,1,2.3333333333333335,Needs Attention
CG-10025,111,36,27593.66,3,4,4,3.6666666666666665,Loyal Customers
CG-10026,158,35,24514.91,2,4,3,3.0,At Risk
CG-10027,140,28,24456.78,2,2,3,2.3333333333333335,Needs Attention
CG-10028,147,28,11332.949999999999,2,2,1,1.6666666666666667,Needs Attention
CG-10029,104,40,12757.42,3,5,1,3.0,Needs Attention
CG-10030,86,41,32733.48,4,5,4,4.333333333333333,Champions
CG-10031,224,34,50422.34,1,4,5,3.3333333333333335,At Risk
CG-10032,88,23,42330.65,4,1,5,3.3333333333333335,New Customers
CG-10033,200,33,28159.629999999997,1,3,4,2.6666666666666665,At Risk
CG-10034,96,37,28472.97,4,4,4,4.0,Champions
CG-10035,100,37,25622.89,4,4,3,3.6666666666666665,Loyal Customers
CG-10036,139,36,24805.17,2,4,3,3.0,At Risk
CG-10037,78,27,16576.45,4,1,1,2.0,New Customers
CG-10038,76,34,27555.480000000003,4,4,4,4.0,Champions
CG-10039,111,31,15986.56,3,2,1,2.0,Needs Attention
CG-10040,71,36,33063.17,4,4,5,4.333333333333333,Champions
CG-10041,9,39,40898.65,5,5,5,5.0,Champions
CG-10042,148,31,33966.9,2,2,5,3.0,Needs Attention
CG-10043,200,36,39234.31,1,4,5,3.3333333333333335,At Risk
CG-10044,90,31,19680.9,4,2,2,2.6666666666666665,New Customers
CG-10045,209,26,21047.61,1,1,2,1.3333333333333333,Lost
CG-10046,105,32,18019.04,3,3,2,2.6666666666666665,Needs Attention
CG-10047,210,26,18246.510000000002,1,1,2,1.3333333333333333,Lost
CG-10048,80,34,37420.57,4,4,5,4.333333333333333,Champions
CG-10049,134,41,46610.57,3,5,5,4.333333333333333,Loyal Customers
CG-10050,129,29,28782.62,3,2,4,3.0,Potential Loyalists
CG-10051,94,30,29767.35,4,2,4,3.3333333333333335,New Customers
CG-10052,81,30,20454.079999999998,4,2,2,2.6666666666666665,New Customers
CG-10053,114,33,28768.71,3,3,4,3.3333333333333335,Loyal Customers
CG-10054,46,28,23364.12,5,2,3,3.3333333333333335,New Customers
CG-10055,91,36,32035.74,4,4,4,4.0,Champions
CG-10056,43,33,17870.63,5,3,2,3.3333333333333335,Needs Attention
CG-10057,125,33,17915.91,3,3,2,2.6666666666666665,Needs Attention
CG-10058,104,41,18160.75,3,5,2,3.3333333333333335,Needs Attention
CG-10059,41,26,31442.4,5,1,4,3.3333333333333335,New Customers
CG-10060,132,30,19864.920000000002,3,2,2,2.3333333333333335,Needs Attention
CG-10061,30,32,27797.66,5,3,4,4.0,Loyal Customers
CG-10062,67,39,33235.12,5,5,5,5.0,Champions
CG-10063,25,41,46159.86,5,5,5,5.0,Champions
CG-10064,26,34,27198.260000000002,5,4,4,4.333333333333333,Champions
CG-10065,192,26,13597.9,1,1,1,1.0,Lost
CG-10066,105,35,38663.75,3,4,5,4.0,Loyal Customers
CG-10067,137,30,28415.04,2,2,4,2.6666666666666665,Needs Attention
CG-10068,151,32,35121.73,2,3,5,3.3333333333333335,At Risk
CG-10069,289,33,25294.6,1,3,3,2.3333333333333335,At Risk
CG-10070,140,40,30221.11,2,5,4,3.6666666666666665,At Risk
CG-10071,66,35,21337.24,5,4,2,3.6666666666666665,Needs Attention
CG-10072,137,24,10878.98,2,1,1,1.3333333333333333,Needs Attention
CG-10073,207,28,15859.72,1,2,1,1.3333333333333333,Lost
CG-10074,66,40,29852.66,5,5,4,4.666666666666667,Champions
CG-10075,18,27,29714.57,5,1,4,3.3333333333333335,New Customers
CG-10076,47,30,20505.18,5,2,2,3.0,New Customers
CG-10077,175,37,18629.010000000002,2,4,2,2.6666666666666665,Needs Attention
CG-10078,119,36,31403.27,3,4,4,3.6666666666666665,Loyal Customers
CG-10079,100,32,25560.48,4,3,3,3.3333333333333335,Loyal Customers
CG-10080,162,25,25382.48,2,1,3,2.0,Needs Attention
CG-10081,134,30,17953.89,3,2,2,2.3333333333333335,Needs Attention
CG-10082,85,34,34953.5,4,4,5,4.333333333333333,Champions
CG-10083,99,34,22666.489999999998,4,4,3,3.6666666666666665,Loyal Customers
CG-10084,190,25,31189.63,1,1,4,2.0,Lost
CG-10085,120,38,17298.77,3,5,2,3.3333333333333335,Needs Attention
CG-10086,103,35,26686.649999999998,3,4,4,3.6666666666666665,Loyal Customers
CG-10087,132,37,22033.8,3,4,3,3.3333333333333335,Loyal Customers
CG-10088,49,35,24718.41,5,4,3,4.0,Loyal Customers
CG-10089,139,29,28713.6,2,2,4,2.6666666666666665,Needs Attention
CG-10090,27,41,46322.02,5,5,5,5.0,Champions
CG-10091,61,25,21707.64,5,1,2,2.6666666666666665,New Customers
CG-10092,164,36,26038.38,2,4,3,3.0,At Risk
CG-10093,158,29,20328.2,2,2,2,2.0,Needs Attention
CG-10094,95,45,41129.61,4,5,5,4.666666666666667,Champions
CG-10095,97,44,48128.27,4,5,5,4.666666666666667,Champions
CG-10096,151,42,36664.38,2,5,5,4.0,At Risk
CG-10097,77,40,29045.77,4,5,4,4.333333333333333,Champions
