Category,Sub-Category,Revenue,Profit,Avg_Discount,Orders,Margin%
Furniture,Bookcases,1510982.11,6018.7699999999995,0.30014144271570015,2121,0.4
Furniture,Chairs,5518746.35,-86305.31999999999,0.29585444495624136,4342,-1.56
Furniture,Furnishings,484258.43,58857.3,0.2990546218487395,2856,12.15
Furniture,Storage,734819.23,34359.13,0.3072744014732965,2172,4.68
Furniture,Tables,5084656.84,-305892.72,0.29518864659051575,2889,-6.02
Office Supplies,Appliances,1243946.16,280788.42,0.08844011142061281,2154,22.57
Office Supplies,Art,357219.08,154701.6,0.08666972056802566,2183,43.31
Office Supplies,Binders,957624.4,364906.43,0.08456687686691006,3013,38.11
Office Supplies,Envelopes,119138.89,39575.18,0.08594014680971201,1771,33.22
Office Supplies,Fasteners,101242.18,35733.73,0.08705408515535099,1738,35.3
Office Supplies,Labels,194432.67,69015.88,0.0870953237410072,2224,35.5
Office Supplies,Paper,366178.05,110856.85,0.08693528693528695,3276,30.27
Office Supplies,Storage,581098.2,171076.44,0.08615209988649263,2643,29.44
Office Supplies,Supplies,224336.54,81739.27,0.09048760991207035,2502,36.44
Technology,Accessories,1201878.16,186182.43,0.30640276876487127,4623,15.49
Technology,Computers,7971993.75,166220.28,0.2973289315726291,3332,2.09
Technology,Copiers,7272075.64,733147.84,0.30026092628832357,1533,10.08
Technology,Machines,1699060.13,128544.4,0.30224071702944943,1562,7.57
Technology,Phones,4993065.85,229201.74,0.29552341597796145,4356,4.59
