EmployeeID,Age,Department,JobRole,Gender,MaritalStatus,EducationField,Education,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,PerformanceRating,OverTime,TrainingTimesLastYear,NumCompaniesWorked,TotalWorkingYears,DistanceFromHome,Attrition,AgeBand
1,56,Research & Development,Research Director,Female,Married,Medical,2,Travel_Rarely,1,0,5,0,11103,13,3,2,4,4,3,3,No,5,5,13,18,Yes,55+
2,46,Human Resources,Human Resources,Male,Married,Medical,3,Travel_Rarely,17,10,1,13,5288,17,0,4,4,2,2,4,No,6,0,23,23,No,46-55
3,32,Research & Development,Manufacturing Director,Male,Married,Life Sciences,2,Travel_Rarely,2,0,1,0,9741,17,1,3,1,2,1,3,No,0,9,16,16,No,26-35
4,60,Sales,Manager,Female,Single,Life Sciences,4,Travel_Rarely,2,1,2,1,8521,11,2,4,1,2,4,4,No,4,6,15,7,Yes,55+
5,25,Sales,Sales Representative,Male,Single,Medical,3,Travel_Rarely,15,14,0,8,4162,16,0,1,3,1,3,3,No,2,7,24,21,No,18-25
6,38,Sales,Manager,Male,Single,Other,2,Travel_Rarely,3,2,8,1,10543,14,3,4,3,3,4,3,No,6,6,4,25,Yes,36-45
7,56,Research & Development,Manager,Male,Married,Life Sciences,4,Travel_Rarely,19,14,13,13,11632,21,0,1,1,3,1,3,Yes,1,8,29,3,Yes,55+
8,36,Sales,Sales Representative,Male,Married,Medical,5,Travel_Rarely,0,0,9,0,3174,18,2,2,1,3,3,3,No,1,0,8,25,No,36-45
9,40,Research & Development,Laboratory Technician,Male,Divorced,Marketing,4,Travel_Rarely,2,1,10,1,3903,18,1,2,4,2,4,3,No,4,9,14,5,Yes,36-45
10,28,Human Resources,Manager,Female,Married,Medical,4,Travel_Frequently,6,1,3,4,7347,13,0,4,3,4,3,3,No,1,8,11,18,No,26-35
11,28,Sales,Sales Representative,Male,Married,Life Sciences,5,Travel_Rarely,13,9,4,9,4261,14,2,4,3,2,2,3,Yes,4,2,26,25,No,26-35
12,41,Research & Development,Manufacturing Director,Male,Divorced,Medical,4,Travel_Rarely,1,0,6,0,11010,25,3,2,4,3,2,3,Yes,1,1,3,17,No,36-45
13,53,Human Resources,Human Resources,Male,Married,Life Sciences,5,Non-Travel,15,8,0,3,3618,11,0,1,4,1,3,3,No,5,5,23,1,No,46-55
14,57,Sales,Sales Executive,Male,Divorced,Other,5,Non-Travel,5,2,2,2,4933,20,1,2,4,2,4,3,No,0,4,13,16,No,55+
