sub_category,Sales,Profit,Margin
Accessories,749307,129626.3062,0.17299492224148447
Appliances,1011081,141680.5894,0.14012783288381445
Art,372163,57953.9109,0.15572185010331496
Binders,461952,72449.846,0.15683414294125797
Bookcases,1466559,161924.4195,0.11041111847528806
Chairs,1501682,140396.2675,0.09349267521352722
Copiers,1509439,258567.54818,0.17130042895406838
Envelopes,170926,29601.1163,0.1731808870505365
Fasteners,83254,11525.4241,0.1384368811108175
Furnishings,385609,46967.4255,0.12180064650980656
Labels,73433,15010.512,0.20441098688600493
Machines,779071,58867.873,0.07556162788757378
Paper,244307,59207.6827,0.24234951393124224
Phones,1706874,216717.00579999998,0.12696719605547918
Storage,1127124,108461.4898,0.09622853368396024
Supplies,243090,22583.2631,0.09290083137932453
Tables,757034,-64083.3887,-0.08465060842709839
