product_1,product_2,frequency,support_pct,confidence_pct,lift
Binders,Storage,944,3.77,17.5,0.97
Art,Binders,895,3.57,20.5,0.95
Art,Storage,833,3.33,19.1,1.05
Binders,Paper,684,2.73,12.7,0.98
Binders,Phones,632,2.52,11.7,0.94
Binders,Furnishings,595,2.38,11.0,0.93
Binders,Chairs,595,2.38,11.0,0.87
Accessories,Binders,588,2.35,20.4,0.94
Phones,Storage,536,2.14,17.1,0.94
Art,Phones,520,2.08,11.9,0.95
Paper,Storage,516,2.06,16.0,0.88
Accessories,Storage,492,1.97,17.0,0.94
Binders,Labels,480,1.92,8.9,0.91
Art,Paper,480,1.92,11.0,0.85
Binders,Bookcases,479,1.91,8.9,0.97
Furnishings,Storage,478,1.91,16.1,0.89
Chairs,Storage,474,1.89,14.9,0.82
Accessories,Art,470,1.88,16.3,0.93
Art,Furnishings,467,1.87,10.7,0.9
Art,Chairs,467,1.87,10.7,0.84
Binders,Supplies,455,1.82,8.4,0.93
Binders,Envelopes,452,1.81,8.4,0.91
Binders,Fasteners,430,1.72,8.0,0.87
Binders,Copiers,424,1.69,7.9,0.93
Labels,Storage,422,1.69,17.2,0.95
Art,Fasteners,408,1.63,9.3,1.02
Bookcases,Storage,396,1.58,17.3,0.96
Chairs,Paper,394,1.57,12.4,0.96
Appliances,Binders,391,1.56,23.2,1.08
Accessories,Phones,387,1.55,13.4,1.07
Art,Labels,387,1.55,8.9,0.9
Storage,Supplies,385,1.54,8.5,0.93
Art,Bookcases,385,1.54,8.8,0.97
Fasteners,Storage,383,1.53,16.6,0.92
Paper,Phones,380,1.52,11.8,0.94
Furnishings,Paper,379,1.51,12.8,0.99
Envelopes,Storage,378,1.51,16.4,0.9
Furnishings,Phones,374,1.49,12.6,1.01
Accessories,Paper,373,1.49,12.9,1.0
Chairs,Furnishings,366,1.46,11.5,0.97
Copiers,Storage,362,1.45,17.1,0.94
Chairs,Phones,362,1.45,11.4,0.91
Art,Envelopes,359,1.43,8.2,0.89
Accessories,Furnishings,355,1.42,12.3,1.04
Accessories,Chairs,347,1.39,12.0,0.94
Art,Supplies,336,1.34,7.7,0.84
Art,Copiers,333,1.33,7.6,0.9
Binders,Machines,312,1.25,5.8,1.02
Chairs,Supplies,309,1.23,9.7,1.06
Chairs,Envelopes,308,1.23,9.7,1.05
Chairs,Fasteners,298,1.19,9.4,1.02
Appliances,Art,295,1.18,17.5,1.0
Chairs,Labels,290,1.16,9.1,0.93
Furnishings,Labels,286,1.14,9.6,0.98
Bookcases,Chairs,281,1.12,12.3,0.97
Labels,Paper,280,1.12,11.4,0.88
Envelopes,Phones,277,1.11,12.0,0.96
Labels,Phones,276,1.1,11.2,0.9
Fasteners,Phones,276,1.1,12.0,0.96
Chairs,Copiers,275,1.1,8.6,1.02
Accessories,Envelopes,274,1.09,9.5,1.03
Appliances,Storage,272,1.09,16.1,0.89
Bookcases,Phones,270,1.08,11.8,0.94
Accessories,Labels,269,1.07,9.3,0.95
Machines,Storage,269,1.07,18.9,1.04
Phones,Supplies,267,1.07,8.5,0.94
Art,Machines,267,1.07,6.1,1.08
Fasteners,Paper,265,1.06,11.5,0.89
Bookcases,Paper,262,1.05,11.5,0.89
Fasteners,Furnishings,260,1.04,11.3,0.95
