product_1,product_2,frequency,support_pct,confidence_pct,lift
Copiers,Labels,243,0.97,11.5,1.17
Appliances,Paper,253,1.01,15.0,1.16
Bookcases,Copiers,218,0.87,9.5,1.13
Bookcases,Machines,145,0.58,6.3,1.12
Copiers,Envelopes,218,0.87,10.3,1.11
Labels,Machines,154,0.62,6.3,1.1
Appliances,Binders,391,1.56,23.2,1.08
Appliances,Tables,61,0.24,3.6,1.08
Art,Machines,267,1.07,6.1,1.08
Copiers,Supplies,207,0.83,9.8,1.07
Accessories,Phones,387,1.55,13.4,1.07
Machines,Phones,191,0.76,13.4,1.07
Bookcases,Fasteners,225,0.9,9.9,1.07
Appliances,Copiers,151,0.6,9.0,1.06
Fasteners,Supplies,222,0.89,9.6,1.06
Chairs,Supplies,309,1.23,9.7,1.06
Envelopes,Fasteners,224,0.89,9.7,1.05
Art,Storage,833,3.33,19.1,1.05
Chairs,Envelopes,308,1.23,9.7,1.05
Bookcases,Envelopes,222,0.89,9.7,1.05
Appliances,Fasteners,162,0.65,9.6,1.04
Accessories,Furnishings,355,1.42,12.3,1.04
Machines,Storage,269,1.07,18.9,1.04
Accessories,Envelopes,274,1.09,9.5,1.03
Bookcases,Labels,231,0.92,10.1,1.03
Accessories,Tables,99,0.4,3.4,1.03
Appliances,Machines,99,0.4,5.9,1.03
Envelopes,Machines,135,0.54,5.8,1.03
Chairs,Copiers,275,1.1,8.6,1.02
Envelopes,Supplies,214,0.85,9.3,1.02
Accessories,Appliances,198,0.79,6.9,1.02
Binders,Machines,312,1.25,5.8,1.02
Chairs,Fasteners,298,1.19,9.4,1.02
Art,Fasteners,408,1.63,9.3,1.02
Appliances,Supplies,156,0.62,9.3,1.02
Appliances,Furnishings,201,0.8,11.9,1.01
Labels,Supplies,226,0.9,9.2,1.01
Furnishings,Phones,374,1.49,12.6,1.01
Fasteners,Labels,227,0.91,9.9,1.0
Copiers,Machines,121,0.48,5.7,1.0
Appliances,Phones,212,0.85,12.6,1.0
Accessories,Paper,373,1.49,12.9,1.0
Fasteners,Machines,131,0.52,5.7,1.0
Appliances,Envelopes,155,0.62,9.2,1.0
Appliances,Art,295,1.18,17.5,1.0
Copiers,Fasteners,193,0.77,9.1,0.99
